6141	9556
5898	9080
178	12742
858	21773
22587	22587
7695	29998
5145	9373
14145	20052
10230	26780
3535	3535
3803	6566
52338	52338
1567	4801
16804	39154
32117	32117
1096	23262
2956	4189
7048	7048
5934	26909
15070	17569
1488	10808
385	17179
5050	66746
192	31362
439	6615
17468	66844
13429	15753
14866	64185
5366	31362
16516	17070
11447	23184
1066	4797
41232	41232
13720	30740
6599	46585
5598	31362
3157	21571
2103	10769
73390	73390
2362	2752
401	12269
50813	50813
8724	39672
5618	16327
6158	17191
1682	9140
18943	67952
25364	46130
1884	28827
13844	34989
13533	19704
9302	33348
3153	20500
1285	5057
5770	19499
17428	17428
383	14095
69	9515
2935	11372
31844	31844
4096	40613
217	897
5747	5747
5231	6673
9404	11496
8941	31523
5825	43988
18678	18678
15443	19602
60647	60647
16069	32803
54795	79384
14616	14616
25677	33046
3715	22651
1131	4805
6817	8305
5588	25780
4982	44209
7001	30555
744	10791
14983	45095
3162	16830
95	32937
6486	8297
38291	38291
2406	8866
5914	16864
5512	8282
4243	40946
2084	12048
207	10704
16333	18341
4796	66746
2392	7999
24857	71592
10071	30413
449	5057
18887	20649
381	4440
51	954
3730	12018
3088	21176
10805	15752
128	11433
3497	38637
5663	19178
26159	26159
10944	29770
31001	62400
64865	80584
5040	40658
1865	3483
29954	73695
6289	21064
14130	31454
73147	73147
6459	6581
1587	6440
39874	70343
16199	65630
5179	45295
11700	60277
555	16253
5986	6628
4805	11626
2982	37855
1883	2504
58304	66349
3656	10503
11206	31649
8530	28988
7609	14120
2589	11198
2828	21420
5545	10565
21746	21781
2486	10986
668	12441
565	11602
1371	1910
482	13543
11690	17849
8017	17713
76181	76181
226	14291
3278	14913
63717	63717
66412	66412
5841	8960
1919	8794
23991	23991
2220	5722
15150	24650
11820	14153
2494	8065
5879	6464
69111	69111
62045	72351
27417	34004
866	8021
8703	10225
2503	11037
8039	24212
5427	8447
3245	7209
3385	5536
2657	5558
6660	18886
1545	5310
30295	73821
26076	58689
52	8719
5102	5211
